Env_Temp,BMP_Pressure,BMP_Altitude,Light,DHT_Humidity,MQ135_CO2,MQ135_CO,MQ135_NH3,Soil_Moisture,Soil_Temp,pH,N,P,K,district,location,season,target_crops
32.00,968.50,10.91,29112.71,90.81,447.61,1.35,0.49,92.79,32.53,5.79,282.33,7.39,236.58,Raigad,Alibag/Mangaon,Monsoon,"Coconut, Arecanut"
42.13,1081.66,577.76,36857.32,84.17,425.52,1.81,1.18,75.68,36.68,6.92,,53.29,,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Bajra"
,989.22,880.48,21216.12,94.59,410.92,1.13,3.05,87.57,31.74,6.37,280.13,14.91,129.55,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice, Finger Millet"
18.58,1015.87,63.71,69521.08,38.25,427.34,4.26,3.73,,15.86,5.36,253.43,6.58,210.58,Raigad,Karjat,,Cashew
16.79,976.68,,74355.78,60.09,440.51,0.95,1.60,56.91,14.24,5.46,287.75,17.28,195.74,Nashik,Igatpuri (Ghat Zone),Winter,Rice
28.49,944.12,496.49,93881.72,42.17,445.26,,3.57,34.27,29.90,6.88,165.88,56.13,245.75,Nashik,Baglan/Kalwan,Summer,Mango
16.96,908.45,53.91,84643.72,69.15,431.52,1.46,3.24,46.78,13.56,5.53,281.99,9.61,222.13,Raigad,Karjat,Winter,"Cashew, Mango"
38.25,920.78,502.61,,76.30,397.21,0.49,,87.95,36.87,,239.41,22.21,289.32,,Niphad/Yeola,Monsoon,"Onion, Grapes"
27.41,1139.12,5.17,102703.65,38.31,393.83,4.83,3.66,23.09,26.60,6.01,,12.34,208.69,Raigad,Alibag/Mangaon,Summer,"Arecanut, Mango"
33.34,962.07,694.26,38812.16,,404.50,0.76,1.83,84.92,28.94,5.92,,16.80,168.39,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Finger Millet"
21.95,925.22,8.66,59168.77,67.25,388.12,3.09,0.46,36.05,16.28,6.92,218.65,11.63,220.37,Raigad,Alibag/Mangaon,Winter,Mango
15.36,962.97,530.93,78133.31,45.37,,3.33,2.21,40.09,13.31,7.36,256.28,24.96,238.01,Nashik,Niphad/Yeola,Winter,"Onion, Pomegranate, Grapes"
35.66,947.91,54.39,53540.30,87.48,421.00,1.24,1.11,83.67,32.12,6.07,238.25,2.98,166.61,Raigad,Karjat,Monsoon,"Ragi, Coconut, Vari"
21.71,929.98,798.76,93961.29,25.97,461.58,5.04,0.34,48.84,20.97,7.00,251.88,23.92,257.82,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Rice, Maize"
35.49,940.05,648.61,,85.77,,1.32,2.54,85.54,33.14,6.28,236.45,13.00,207.56,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
43.86,1127.29,593.37,16192.68,74.53,379.13,2.06,2.36,96.19,37.17,7.60,208.68,44.42,224.13,Nashik,Baglan/Kalwan,Monsoon,Grapes
14.15,976.59,524.94,86214.63,40.76,435.63,1.47,1.34,65.90,9.69,,225.56,62.53,265.17,Nashik,Baglan/Kalwan,Winter,Onion
27.92,1109.84,998.94,103872.84,41.72,401.26,2.54,0.55,58.53,27.78,6.47,238.44,15.32,,Nashik,Igatpuri (Ghat Zone),Summer,"Maize, Rice"
26.70,839.64,571.13,20234.66,70.66,381.38,3.36,2.40,97.04,22.91,7.19,194.69,,332.50,Nashik,Niphad/Yeola,Monsoon,"Onion, Grapes"
18.78,1046.15,52.90,71623.40,47.09,413.44,0.33,2.66,57.24,13.21,5.60,270.82,4.98,242.18,,Karjat,Winter,Coconut
,,,,,,,,,,,,,,,,,"Sugarcane, Banana"
24.12,866.81,624.65,123457.47,41.43,415.90,,2.75,50.75,18.98,7.14,247.55,18.70,,Nashik,Niphad/Yeola,Summer,Grapes
34.27,943.96,456.66,32378.22,76.83,427.66,4.85,3.55,94.44,25.75,7.75,192.00,40.18,255.73,,Baglan/Kalwan,Monsoon,"Soybean, Bajra, Mango"
17.21,991.84,64.30,86851.30,50.33,414.51,2.04,2.80,40.89,15.38,5.43,288.58,,194.03,Raigad,Karjat,Winter,Vari
33.20,1038.34,544.76,45031.21,76.42,,1.75,3.51,100.53,34.06,7.12,276.60,18.83,258.58,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Tomato, Wheat"
,915.61,557.80,81498.53,,402.66,3.91,1.72,54.11,9.56,6.36,221.30,,236.03,Nashik,,Winter,Maize
33.73,1048.45,625.54,39387.44,83.91,,0.34,2.35,,32.91,7.69,220.52,29.34,229.77,Nashik,Niphad/Yeola,Monsoon,Pomegranate
25.82,1015.86,5.35,87470.44,30.29,384.39,0.54,3.68,15.02,25.39,5.78,220.09,6.96,232.58,Raigad,Alibag/Mangaon,Summer,Mango
36.54,1051.57,59.13,95560.28,18.53,397.18,1.52,3.82,14.32,29.04,5.42,274.23,131.00,265.89,Raigad,Karjat,Summer,"Ragi, Coconut"
17.29,1039.66,4.41,61354.58,64.54,416.84,2.23,1.82,49.26,13.70,5.61,261.64,11.29,,Raigad,Alibag/Mangaon,Winter,Cashew
,,,,,,,,,,,,,,,,,Rice
,1031.87,506.18,,51.00,422.15,1.45,2.10,,8.61,6.48,245.48,32.28,291.90,Nashik,Niphad/Yeola,Winter,Wheat
36.45,878.67,,19118.91,89.31,407.54,,3.82,103.84,37.98,,291.25,4.52,203.94,Raigad,Karjat,Monsoon,Coconut
25.48,861.69,,72371.07,58.23,393.34,3.22,1.17,47.60,27.55,6.95,270.06,30.99,276.12,Nashik,Niphad/Yeola,,Tomato
19.02,1105.95,61.79,66650.99,57.04,415.77,3.50,,34.91,18.47,5.34,251.01,4.82,219.46,Raigad,Karjat,Winter,"Coconut, Rice"
18.52,995.21,57.50,59961.77,51.24,429.00,2.74,0.82,28.99,15.33,5.73,232.18,5.04,244.27,Raigad,Karjat,Winter,Green Gram
18.76,1011.57,51.66,88313.82,63.32,419.77,3.24,3.64,44.75,14.86,6.21,276.40,4.58,218.68,Raigad,Karjat,Winter,"Coconut, Rice"
33.09,897.98,,20091.26,93.21,461.74,3.46,0.85,,39.58,7.01,244.93,47.08,234.24,Nashik,Baglan/Kalwan,Monsoon,"Onion, Grapes"
30.35,950.21,811.93,91277.94,26.08,368.73,3.05,1.20,53.58,26.94,6.48,263.52,21.22,218.97,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Maize"
30.61,960.25,6.90,105207.44,29.62,426.34,,2.42,23.26,25.84,6.20,330.16,,199.85,Raigad,Alibag/Mangaon,Summer,Banana
39.29,1017.70,51.53,20301.20,,388.26,2.34,0.76,90.95,31.20,4.96,311.05,5.27,205.15,Raigad,Karjat,Monsoon,"Coconut, Mango"
15.41,1032.15,54.20,82035.18,57.74,380.20,1.36,0.50,51.06,14.12,5.68,232.48,10.12,213.10,Raigad,Karjat,Winter,"Cashew, Green Gram, Vari"
12.81,1017.41,852.78,69330.20,44.58,546.73,2.48,1.41,55.64,11.19,5.71,276.50,,174.29,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Finger Millet"
16.83,844.11,659.66,75506.87,66.03,378.84,0.15,1.21,63.93,13.95,6.95,223.49,17.69,178.04,Nashik,Igatpuri (Ghat Zone),,Rice
20.30,971.38,541.90,77919.01,56.47,390.95,0.83,0.17,58.72,19.28,7.33,212.09,21.69,280.22,Nashik,Niphad/Yeola,Winter,"Sugarcane, Grapes"
19.30,898.68,,74826.65,47.94,,4.82,1.95,30.58,18.75,5.88,275.09,9.55,,Raigad,Alibag/Mangaon,Winter,Coconut
29.71,1030.53,584.74,43470.65,70.01,,1.59,3.47,87.93,25.86,8.24,221.53,23.08,307.92,Nashik,Niphad/Yeola,Monsoon,"Onion, Pomegranate"
42.92,1001.34,469.91,50392.39,64.37,436.77,4.85,2.69,,36.89,7.00,187.07,37.94,238.69,Nashik,Baglan/Kalwan,Monsoon,Maize
27.40,942.46,51.68,64911.02,55.85,415.75,4.02,,59.59,23.35,5.93,300.71,7.50,223.33,Raigad,,Winter,"Ragi, Vegetables, Mango"
38.96,902.57,559.84,105671.25,20.93,1599.54,0.81,3.20,56.53,30.86,7.99,206.44,,269.54,Nashik,,Summer,Grapes
23.50,951.51,46.88,81891.21,38.38,436.70,0.70,0.92,40.29,18.88,6.61,249.36,8.01,189.69,Raigad,,Winter,"Cashew, Green Gram, Mango"
,1148.44,5.72,77010.78,46.50,444.93,3.69,2.61,49.93,,6.26,286.96,6.43,215.82,Raigad,Alibag/Mangaon,Winter,"Cashew, Rice"
32.97,1012.05,73.62,99762.21,30.46,425.84,2.74,1.19,13.33,34.14,5.15,286.80,11.00,228.71,Raigad,Karjat,Summer,Coconut
35.64,1003.39,14.28,37922.57,94.91,,1.46,1.98,67.24,26.78,6.01,276.20,,209.34,Raigad,Alibag/Mangaon,Monsoon,Arecanut
31.04,846.94,554.69,48830.11,83.32,471.88,3.55,1.09,96.65,32.91,7.66,221.86,23.36,295.51,Nashik,Niphad/Yeola,Monsoon,Grapes
26.97,989.60,68.91,114632.48,41.71,438.75,0.85,2.67,23.56,25.49,5.68,235.40,9.75,200.95,Raigad,,Summer,"Green Gram, Rice"
42.70,914.17,569.83,31216.80,80.56,384.37,3.87,0.48,100.18,45.43,7.05,269.66,17.27,292.90,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Wheat"
21.68,1049.45,417.17,104949.05,,395.40,3.90,2.77,45.27,18.40,7.15,262.32,33.08,211.50,Nashik,Baglan/Kalwan,Summer,"Onion, Banana"
25.63,1129.71,,101185.09,31.66,499.81,1.70,2.30,21.16,16.64,,228.44,99.69,243.53,Raigad,,Summer,"Green Gram, Coconut"
44.29,901.90,552.86,47219.51,77.73,413.17,1.26,2.01,82.68,38.94,7.20,239.82,23.24,342.36,Nashik,,Monsoon,"Sugarcane, Tomato"
15.75,924.26,498.79,88329.51,57.15,389.70,1.96,0.95,67.72,13.19,7.32,254.22,23.78,231.69,Nashik,Niphad/Yeola,Winter,Pomegranate
27.84,952.85,566.95,,36.76,396.79,0.71,,52.62,24.39,7.13,227.40,23.47,267.66,Nashik,Niphad/Yeola,Summer,Grapes
41.94,979.45,540.56,42437.67,87.91,438.08,4.62,1.44,90.69,41.09,7.25,157.13,45.06,234.56,Nashik,Baglan/Kalwan,Monsoon,"Grapes, Tomato"
13.30,898.87,627.29,68145.91,,,,2.44,44.51,11.34,6.95,184.07,42.98,275.08,Nashik,Baglan/Kalwan,Winter,"Groundnut, Grapes"
15.16,873.03,578.66,83887.52,52.53,401.31,,1.63,56.09,11.65,7.48,154.71,48.01,256.93,Nashik,,,"Groundnut, Maize, Onion"
17.39,989.57,11.52,90743.04,43.03,401.95,1.60,2.41,31.27,16.61,5.40,251.46,11.95,210.03,Raigad,Alibag/Mangaon,Winter,Banana
27.74,1119.96,63.25,110523.13,32.10,464.72,3.20,4.30,17.40,21.47,5.46,262.48,3.67,166.00,Raigad,Karjat,Summer,"Cashew, Rice, Mango"
23.01,916.00,582.80,,51.98,389.32,4.04,3.59,59.73,,7.32,216.52,41.02,224.47,Nashik,Baglan/Kalwan,Winter,Soybean
32.93,960.38,584.52,117441.64,36.33,346.24,0.54,3.26,57.54,23.86,7.16,252.85,34.65,275.14,Nashik,Baglan/Kalwan,Summer,"Grapes, Bajra, Mango"
13.67,1001.38,638.18,73744.98,39.97,395.48,0.55,2.70,59.41,9.21,6.22,285.58,15.16,175.57,Nashik,Igatpuri (Ghat Zone),Winter,Finger Millet
33.98,858.71,576.07,21730.18,85.17,411.59,5.07,1.57,100.24,,7.10,239.29,42.80,216.81,Nashik,Baglan/Kalwan,Monsoon,"Onion, Grapes"
14.97,1022.82,604.93,82325.94,53.82,,1.72,2.51,55.86,12.67,6.75,246.50,49.02,241.76,Nashik,Baglan/Kalwan,Winter,"Onion, Tomato"
10.83,1027.12,499.61,76804.03,63.49,417.09,,1.93,48.44,8.03,7.58,257.28,24.16,323.29,Nashik,Niphad/Yeola,Winter,"Tomato, Wheat"
21.29,913.79,599.51,69402.94,48.88,361.33,3.27,0.83,61.36,19.53,7.36,265.24,16.24,206.75,Nashik,Igatpuri (Ghat Zone),Winter,Finger Millet
30.29,1012.56,615.00,34417.93,82.09,458.60,2.32,3.97,77.94,25.17,7.96,230.04,26.28,6317.02,Nashik,Niphad/Yeola,Monsoon,"Grapes, Tomato, Wheat"
31.17,1098.19,10.37,44402.86,102.90,408.97,2.08,1.39,103.10,25.61,6.01,257.64,13.17,257.51,Raigad,Alibag/Mangaon,Monsoon,Arecanut
25.87,908.09,530.83,103440.47,21.67,402.73,0.49,1.52,,21.82,7.30,219.97,40.34,219.93,Nashik,Baglan/Kalwan,Summer,Groundnut
14.56,988.68,875.91,80618.17,53.03,400.88,3.76,2.54,46.71,12.47,,226.56,15.87,217.94,Nashik,Igatpuri (Ghat Zone),Winter,"Banana, Rice"
27.43,1079.22,10.28,27823.04,97.67,352.98,0.47,2.10,90.98,23.30,5.26,308.79,6.44,182.90,Raigad,Alibag/Mangaon,,"Banana, Mango"
21.18,1048.50,6.91,86819.37,64.05,425.00,4.05,0.97,58.67,18.30,5.83,270.30,11.04,240.14,Raigad,Alibag/Mangaon,Winter,Mango
37.37,871.80,565.28,92106.10,26.07,415.20,0.26,3.97,44.96,,7.46,236.84,27.72,246.74,Nashik,Niphad/Yeola,Summer,Pomegranate
13.99,910.38,578.37,75545.29,53.09,419.37,0.24,3.23,66.66,11.44,7.57,193.28,14.95,192.93,Nashik,Niphad/Yeola,Winter,Tomato
23.86,1037.25,6.08,65473.08,35.88,381.36,3.27,0.27,38.78,25.91,5.33,282.97,4.78,,,Alibag/Mangaon,Winter,"Cashew, Banana, Mango"
22.10,1005.28,12.70,65989.48,61.98,394.58,0.20,2.30,53.31,16.11,5.45,291.81,12.89,261.61,Raigad,Alibag/Mangaon,Winter,Mango
22.07,949.51,496.64,61012.62,39.06,406.37,2.07,0.34,43.91,19.22,7.55,251.08,38.58,236.58,Nashik,Baglan/Kalwan,Winter,"Onion, Grapes"
34.06,920.73,414.14,14618.32,73.80,409.55,1.92,1.89,95.50,31.69,7.55,170.02,39.70,238.75,Nashik,Baglan/Kalwan,Monsoon,Bajra
33.04,982.31,,32811.73,86.78,445.71,0.94,0.36,91.88,33.16,6.55,239.48,6.32,211.27,Raigad,Karjat,Monsoon,"Green Gram, Coconut, Rice"
34.16,994.81,57.70,46680.97,81.01,402.07,3.79,1.56,92.00,31.15,5.55,251.21,6.72,,Raigad,Karjat,Monsoon,"Rice, Mango"
18.14,864.32,655.00,626351.20,63.63,400.02,,3.94,66.71,18.95,6.49,298.73,,200.52,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Rice, Finger Millet"
42.70,970.81,449.93,,75.78,348.34,,1.41,81.86,38.43,6.85,229.99,59.46,283.54,,Baglan/Kalwan,Monsoon,"Onion, Maize, Bajra"
36.25,968.64,,57402.92,74.66,420.26,2.36,0.38,74.74,33.33,6.57,273.20,29.73,289.97,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Mango"
27.77,1073.79,649.25,53168.60,95.55,425.38,2.47,0.93,89.45,30.30,6.53,219.60,14.78,193.85,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
,883.36,543.15,71784.93,44.45,382.39,0.80,2.54,46.44,17.02,,262.12,48.16,255.32,Nashik,Baglan/Kalwan,Winter,Onion
20.61,,,78166.89,52.33,439.58,0.98,0.61,39.60,13.43,5.44,271.26,13.15,,Raigad,Alibag/Mangaon,Winter,Arecanut
15.89,1007.21,574.96,88716.04,53.39,404.56,3.48,1.95,63.13,13.85,6.80,273.36,22.07,258.56,Nashik,Niphad/Yeola,Winter,"Pomegranate, Tomato"
34.12,979.02,654.09,36206.48,83.05,424.57,1.14,0.85,93.32,34.73,5.98,207.00,,200.56,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice"
29.10,1120.63,8.86,31259.61,103.27,424.55,2.67,2.24,98.19,28.21,5.21,270.99,7.93,244.96,,Alibag/Mangaon,Monsoon,Coconut
19.44,1103.59,523.74,95904.59,62.89,409.94,0.49,2.92,64.90,13.00,5.97,193.80,50.21,260.96,Nashik,Baglan/Kalwan,Winter,"Bajra, Mango"
,,,,31.04,372.95,0.29,,25.90,23.52,,,,204.49,Raigad,Alibag/Mangaon,,"Rice, Mango"
29.64,954.47,10.62,46738.05,97.88,433.61,1.39,2.72,81.14,31.05,,249.19,8.27,,Raigad,,Monsoon,Coconut
20.50,836.57,491.94,78109.41,47.41,464.10,2.42,0.46,46.54,16.68,7.17,224.24,17.17,252.03,Nashik,Niphad/Yeola,Winter,"Sugarcane, Banana"
,986.95,729.97,94545.85,18.28,452.39,0.42,0.15,54.04,18.54,6.33,289.02,13.13,238.81,Nashik,Igatpuri (Ghat Zone),Summer,Vegetables
,971.72,492.01,69950.45,48.96,370.57,,0.10,45.34,12.70,6.18,268.15,54.48,278.82,Nashik,Baglan/Kalwan,Winter,"Groundnut, Mango"
29.59,944.02,7.17,48106.73,93.98,405.05,0.36,3.06,88.38,28.26,6.12,244.05,6.87,216.25,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Rice"
25.43,1051.67,57.68,77435.90,60.45,413.00,4.86,2.24,49.63,23.36,5.86,266.66,13.07,247.19,Raigad,Karjat,,Mango
,1022.56,602.25,40045.44,86.16,384.29,2.18,1.68,92.27,25.83,6.32,,14.93,179.20,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Finger Millet"
21.07,773.47,845.91,115886.96,25.82,417.27,2.85,2.68,51.36,23.02,7.08,275.27,16.87,119.88,Nashik,Igatpuri (Ghat Zone),Summer,Finger Millet
37.77,1173.17,60.80,15640.55,91.33,397.62,2.27,1.32,86.66,35.99,5.95,234.93,11.53,201.80,Raigad,Karjat,Monsoon,"Cashew, Coconut, Green Gram"
35.03,884.03,542.15,26531.09,64.04,381.75,3.28,1.01,,27.07,,181.15,23.16,337.09,Nashik,Niphad/Yeola,Monsoon,Sugarcane
18.78,993.70,567.64,,48.49,460.32,2.53,3.96,43.76,17.51,7.56,202.86,46.85,219.58,Nashik,Baglan/Kalwan,Winter,"Maize, Soybean"
43.06,914.58,557.29,29998.26,71.41,443.74,2.50,1.16,94.05,43.56,8.18,245.29,18.80,295.50,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Wheat"
21.45,,470.36,100617.79,20.58,377.75,1.06,1.10,,,7.11,182.04,54.83,249.91,Nashik,Baglan/Kalwan,Summer,Maize
18.99,969.93,501.32,79367.41,49.00,417.14,3.92,1.75,61.06,17.35,7.06,262.41,57.84,259.29,Nashik,Baglan/Kalwan,Winter,Soybean
37.86,871.34,770.58,15111.31,97.79,408.13,2.50,2.39,88.83,27.62,6.29,273.43,13.45,164.73,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Vegetables"
14.50,942.91,775.68,101438.14,66.54,439.21,2.80,1.12,55.21,15.35,6.75,226.64,4.58,181.86,Nashik,Igatpuri (Ghat Zone),Winter,Finger Millet
32.31,1152.13,12.12,90606.57,42.79,426.72,4.64,,18.20,28.81,,325.64,8.11,200.59,Raigad,,Summer,Cashew
12.40,1009.17,610.94,61806.45,49.56,384.31,1.28,3.54,61.77,6.76,7.60,253.50,17.35,222.72,Nashik,,Winter,"Onion, Pomegranate"
27.80,1048.01,11.03,18802.57,107.13,669.07,3.92,1.22,95.86,22.68,,,7.83,,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Sugarcane"
21.07,974.51,550.30,91028.02,59.64,470.61,4.03,1.22,43.98,17.90,7.69,236.86,31.12,227.39,Nashik,Niphad/Yeola,Winter,Sugarcane
20.46,918.16,798.01,68264.06,56.40,448.68,1.45,1.38,64.87,17.35,6.66,304.17,10.35,166.58,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Maize, Finger Millet"
,1076.02,494.00,82547.99,39.45,430.71,1.96,0.52,,9.21,6.96,197.61,,260.22,Nashik,Baglan/Kalwan,,Mango
17.36,968.02,61.36,64761.63,66.56,396.15,,,38.60,15.15,5.25,276.02,5.83,192.37,Raigad,Karjat,Winter,Mango
,945.14,7.44,71209.96,58.05,430.29,,2.39,29.75,16.65,5.29,311.88,8.69,206.56,Raigad,Alibag/Mangaon,Winter,"Banana, Rice"
30.95,1115.18,6.27,114591.26,24.40,447.33,1.29,3.03,23.55,35.89,6.16,287.34,12.41,216.75,Raigad,Alibag/Mangaon,Summer,"Coconut, Arecanut"
20.76,999.39,,120217.20,30.01,425.94,,1.68,60.32,22.34,6.84,243.66,29.40,281.49,Nashik,Niphad/Yeola,Summer,Grapes
34.88,1012.97,529.34,101899.27,38.64,,3.81,3.43,60.04,32.84,7.79,213.55,18.71,266.16,Nashik,Niphad/Yeola,Summer,Tomato
34.49,1031.60,53.93,33017.34,,399.97,2.85,2.45,81.58,,6.03,280.77,4.87,223.51,Raigad,Karjat,Monsoon,Green Gram
18.40,990.86,523.83,95193.53,59.76,436.32,1.62,2.02,64.66,14.06,7.29,184.35,47.86,323.66,Nashik,Baglan/Kalwan,Winter,Mango
28.04,,800.69,103482.22,34.75,422.89,1.27,1.68,,30.14,6.90,285.03,10.26,136.15,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Rice"
13.59,808.68,868.75,58342.23,37.52,435.42,4.38,2.67,48.45,10.64,6.20,298.70,10.35,258.22,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Vegetables"
41.54,982.57,57.08,,94.74,416.81,3.25,1.31,,34.79,5.49,266.65,9.80,217.69,Raigad,Karjat,Monsoon,Mango
23.87,954.90,544.32,69694.18,,,4.15,1.91,58.83,21.72,7.72,263.89,14.57,243.13,Nashik,Niphad/Yeola,Winter,Grapes
30.55,973.14,,88967.15,42.21,388.10,1.78,1.99,26.15,34.41,5.67,272.13,5.80,175.51,Raigad,Karjat,Summer,"Ragi, Cashew"
28.44,971.56,503.56,99658.04,19.55,426.71,3.32,1.60,45.85,,6.23,217.23,31.71,281.59,Nashik,Baglan/Kalwan,Summer,Soybean
19.71,946.11,564.96,66101.54,,420.00,3.83,1.69,52.56,,7.72,221.69,23.59,270.26,Nashik,Niphad/Yeola,Winter,"Groundnut, Tomato, Wheat"
34.28,1030.58,14.72,48946.64,90.23,,2.12,,87.73,33.93,6.51,276.41,8.40,242.76,Raigad,Alibag/Mangaon,Monsoon,"Coconut, Rice, Mango"
26.49,898.11,8.70,102123.60,41.86,478.02,2.25,1.80,22.07,24.11,5.69,304.67,8.74,204.59,Raigad,Alibag/Mangaon,Summer,"Cashew, Banana"
35.86,1050.28,63.05,37740.20,90.61,415.26,4.61,0.96,93.92,36.78,5.13,280.05,7.50,202.71,Raigad,Karjat,Monsoon,"Rice, Mango"
23.02,948.30,,66041.69,69.06,408.61,2.96,,41.81,15.99,7.65,216.23,27.16,239.67,Nashik,Niphad/Yeola,Winter,Pomegranate
26.27,950.13,14.21,103539.60,32.25,407.58,0.74,0.71,25.69,22.74,5.26,300.28,9.06,264.96,Raigad,Alibag/Mangaon,Summer,"Cashew, Tomato"
35.86,1025.43,61.23,45261.02,82.49,363.89,0.13,1.74,94.51,35.01,5.66,,5.45,190.62,Raigad,Karjat,,"Coconut, Mango"
20.12,995.08,5.79,77953.64,53.12,452.97,5.25,,46.38,16.91,,284.66,10.94,191.45,Raigad,Alibag/Mangaon,Winter,"Coconut, Arecanut"
13.45,1016.87,652.61,60137.23,62.17,414.33,3.36,1.20,46.58,10.49,,261.50,14.61,118.29,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Finger Millet"
23.11,,746.92,79596.77,59.46,983.39,1.27,1.78,,,6.57,318.22,15.59,199.88,,Igatpuri (Ghat Zone),,Maize
29.39,1008.90,580.28,59601.79,,421.23,2.25,0.50,100.55,23.62,7.52,283.48,27.34,240.20,Nashik,Niphad/Yeola,Monsoon,Onion
28.09,1010.91,5.80,18114.27,89.18,441.54,1.82,2.60,83.78,26.38,6.33,278.80,10.84,222.36,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Coconut, Cotton, Rice"
25.04,995.74,768.05,67728.50,49.10,425.33,3.19,2.80,58.96,20.38,5.93,204.29,16.16,169.01,Nashik,Igatpuri (Ghat Zone),Winter,Vegetables
40.92,988.23,71.70,41958.01,98.36,463.25,4.21,3.61,91.29,38.19,6.05,291.20,11.88,211.30,Raigad,Karjat,Monsoon,"Ragi, Groundnut"
42.59,,613.92,39606.19,,446.16,0.30,1.13,92.16,47.40,7.29,242.94,29.55,267.36,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Tomato"
17.64,1034.74,74.02,76770.56,40.21,390.19,2.68,4.13,40.42,16.64,5.40,186.20,10.55,,Raigad,Alibag/Mangaon,Winter,"Cashew, Mango"
23.70,1159.46,49.27,64353.10,48.21,381.63,3.68,2.89,39.21,17.50,5.82,251.05,7.47,235.94,Raigad,Karjat,Winter,Coconut
37.67,903.88,612.70,43652.98,81.06,392.43,3.33,3.04,83.64,35.09,,188.24,25.28,280.45,,Niphad/Yeola,Monsoon,"Onion, Tomato"
,1045.90,759.41,,26.06,442.22,0.92,3.97,45.49,28.99,6.91,309.42,13.28,238.22,Nashik,Igatpuri (Ghat Zone),Summer,"Sugarcane, Maize, Rice"
20.55,1011.33,552.60,70097.85,49.32,465.13,2.46,3.71,,17.09,6.09,175.24,56.06,220.25,Nashik,,Winter,"Grapes, Bajra"
34.59,993.10,755.26,91976.25,29.57,409.36,2.24,2.84,72.92,30.15,6.22,214.63,23.51,283.70,Nashik,Igatpuri (Ghat Zone),Summer,"Sugarcane, Maize, Rice"
,819.46,613.21,48673.48,86.18,430.41,2.51,1.25,89.69,22.38,5.91,212.74,19.38,255.99,Nashik,,Monsoon,"Vegetables, Finger Millet"
,1113.84,53.33,37712.45,93.44,423.93,0.25,4.00,91.58,34.70,4.91,226.87,10.06,206.25,Raigad,Karjat,Monsoon,"Ragi, Coconut"
26.72,988.38,608.87,31570.67,64.57,381.46,0.47,2.94,79.60,26.17,6.16,201.87,7.89,389.09,Nashik,Niphad/Yeola,Monsoon,"Grapes, Wheat"
23.84,908.36,,83138.43,41.42,433.80,0.53,0.62,32.98,21.41,5.50,330.95,11.49,253.37,,Alibag/Mangaon,Winter,"Cashew, Rice"
31.57,1015.12,58.55,118609.37,47.67,348.03,2.97,2.84,22.30,23.82,6.06,275.89,10.22,,Raigad,Karjat,Summer,"Green Gram, Coconut, Ragi"
17.07,807.04,603.90,80608.00,56.54,429.07,0.80,1.24,42.53,14.75,7.57,,37.24,259.48,Nashik,Baglan/Kalwan,Winter,"Maize, Mango"
14.01,864.11,473.55,65229.62,47.74,417.33,0.91,2.91,39.19,12.67,,186.75,,,Nashik,Baglan/Kalwan,Winter,Groundnut
17.37,,56.40,65111.64,60.86,475.61,4.77,2.76,45.24,13.36,5.10,260.85,9.19,228.99,Raigad,Karjat,Winter,"Ragi, Rice"
41.36,936.62,517.77,27000.24,84.42,399.88,0.12,3.25,,36.24,6.78,224.61,54.78,239.53,Nashik,Baglan/Kalwan,Monsoon,"Onion, Groundnut, Wheat"
25.58,984.87,50.63,98208.95,25.87,393.71,2.02,2.33,22.19,25.70,5.52,281.23,11.16,223.46,Raigad,Karjat,Summer,"Cashew, Green Gram, Vari"
23.76,983.66,62.07,87705.80,52.74,454.85,1.32,2.92,53.70,18.92,6.33,280.26,10.25,208.05,Raigad,Karjat,Winter,"Ragi, Green Gram"
42.41,946.89,619.63,,76.15,437.42,4.82,1.07,84.18,34.84,6.55,261.70,18.02,234.17,,Niphad/Yeola,Monsoon,"Sugarcane, Wheat"
,1006.93,620.15,,81.69,394.27,0.17,0.97,83.48,34.79,7.03,247.82,58.41,264.79,Nashik,Baglan/Kalwan,Monsoon,"Onion, Bajra"
